/* DATA DESCRIPTION:
Citation:	Antico, Andrés; Aguiar, Ricardo O; Amsler, Mario L (2017): Paraná River monthly hydrometric data from Rosario City, Argentina: 1875 to 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.882612, 
	In supplement to: Antico, A et al. (2018): Hydrometric data rescue in the Paraná River Basin. Water Resources Research, 54, 1368-1381, https://doi.org/10.1002/2017WR020897
Coverage:	LATITUDE: -32.933630 * LONGITUDE: -60.643550
	DATE/TIME START: 1875-01-01T00:00:00 * DATE/TIME END: 2017-07-31T00:00:00
Event(s):	Paraná_River_Rosario * LATITUDE: -32.933630 * LONGITUDE: -60.643550 * LOCATION: Rosario City, Argentina, South America * METHOD/DEVICE: Hydrographic station (HYD)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar)
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	Water level, monthly mean [m] (WL month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, official
	River discharge, monthly mean [m**3/s] (Q month mean) * PI: Antico, Andrés (https://orcid.org/0000-0003-2985-9620, aantico@santafe-conicet.gov.ar) * COMMENT: monthly, corrected
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	6844 data points
*/
Date/Time	WL month mean [m] (monthly, official)	WL month mean [m] (monthly, corrected)	Q month mean [m**3/s] (monthly, official)	Q month mean [m**3/s] (monthly, corrected)
1985-04	4.67	4.67	23203	23203
1985-05	4.86	4.86	23960	23960
1985-06	4.73	4.73	23453	23453
1985-07	4.41	4.41	22196	22196
1985-08	4.09	4.09	20976	20976
1985-09	4.06	4.06	20855	20855
1985-10	3.68	3.68	19457	19457
1985-11	3.05	3.05	17219	17219
1985-12	1.98	1.98	13674	13674
1986-01	1.55	1.55	12346	12346
1986-02	1.97	1.97	13658	13658
1986-03	2.90	2.90	16695	16695
1986-04	3.70	3.70	19529	19529
1986-05	4.59	4.59	22889	22889
1986-06	4.70	4.70	23328	23328
1986-07	4.52	4.52	22643	22643
1986-08	3.97	3.97	20545	20545
1986-09	3.42	3.42	18509	18509
1986-10	3.49	3.49	18754	18754
1986-11	3.32	3.32	18138	18138
1986-12	2.98	2.98	16965	16965
1987-01	3.27	3.27	17972	17972
1987-02	3.39	3.39	18417	18417
1987-03	3.85	3.85	20085	20085
1987-04	3.94	3.94	20424	20424
1987-05	4.30	4.30	21760	21760
1987-06	4.83	4.83	23868	23868
1987-07	4.90	4.90	24156	24156
1987-08	4.40	4.40	22163	22163
1987-09	3.23	3.23	17863	17863
1987-10	2.40	2.40	15021	15021
1987-11	2.90	2.90	16709	16709
1987-12	3.34	3.34	18223	18223
1988-01	2.87	2.87	16593	16593
1988-02	3.53	3.53	18918	18918
1988-03	3.50	3.50	18790	18790
1988-04	3.50	3.50	18787	18787
1988-05	3.53	3.53	18892	18892
1988-06	3.98	3.98	20543	20543
1988-07	4.24	4.24	21556	21556
1988-08	3.87	3.87	20147	20147
1988-09	3.42	3.42	18498	18498
1988-10	2.79	2.79	16404	16404
1988-11	2.27	2.27	14595	14595
1988-12	1.36	1.36	11802	11802
1989-01	1.45	1.45	12112	12112
1989-02	3.44	3.44	18603	18603
1989-03	4.16	4.16	21254	21254
1989-04	4.17	4.17	21289	21289
1989-05	3.93	3.93	20352	20352
1989-06	3.47	3.47	18691	18691
1989-07	3.42	3.42	18519	18519
1989-08	3.47	3.47	18699	18699
1989-09	3.94	3.94	20401	20401
1989-10	4.49	4.49	22491	22491
1989-11	4.38	4.38	22076	22076
1989-12	3.36	3.36	18317	18317
1990-01	3.14	3.14	17530	17530
1990-02	4.66	4.66	23211	23211
1990-03	4.51	4.51	22622	22622
1990-04	3.59	3.59	19111	19111
1990-05	4.19	4.19	21332	21332
1990-06	4.35	4.35	21975	21975
1990-07	4.67	4.67	23216	23216
1990-08	4.35	4.35	21949	21949
1990-09	4.28	4.28	21684	21684
1990-10	4.74	4.74	23489	23489
1990-11	4.83	4.83	23854	23854
1990-12	4.59	4.59	22888	22888
1991-01	3.55	3.55	18995	18995
1991-02	3.13	3.13	17504	17504
1991-03	3.49	3.49	18751	18751
1991-04	3.48	3.48	18732	18732
1991-05	4.39	4.39	22119	22119
1991-06	4.14	4.14	21164	21164
1991-07	3.94	3.94	20412	20412
1991-08	3.27	3.27	17979	17979
1991-09	2.48	2.48	15288	15288
1991-10	2.59	2.59	15654	15654
1991-11	2.68	2.68	15946	15946
1991-12	2.53	2.53	15470	15470
1992-01	3.77	3.77	19770	19770
1992-02	3.73	3.73	19646	19646
1992-03	3.96	3.96	20469	20469
1992-04	4.22	4.22	21472	21472
1992-05	4.82	4.82	23824	23824
1992-06	5.73	5.73	27594	27594
1992-07	5.64	5.64	27203	27203
1992-08	4.84	4.84	23918	23918
1992-09	4.33	4.33	21899	21899
1992-10	4.12	4.12	21071	21071
1992-11	4.44	4.44	22307	22307
1992-12	4.74	4.74	23487	23487
1993-01	4.84	4.84	23881	23881
1993-02	4.71	4.71	23367	23367
1993-03	4.62	4.62	23007	23007
1993-04	4.50	4.50	22561	22561
1993-05	3.96	3.96	20471	20471
1993-06	3.87	3.87	20149	20149
1993-07	3.44	3.44	18593	18593
1993-08	3.01	3.01	17073	17073
1993-09	2.38	2.38	14968	14968
1993-10	3.42	3.42	18573	18573
1993-11	4.54	4.54	22694	22694
1993-12	3.95	3.95	20431	20431
1994-01	3.20	3.20	17732	17732
1994-02	3.59	3.59	19131	19131
1994-03	4.18	4.18	21330	21330
1994-04	3.70	3.70	19514	19514
1994-05	3.37	3.37	18337	18337
1994-06	3.60	3.60	19151	19151
1994-07	4.15	4.15	21184	21184
1994-08	3.73	3.73	19657	19657
1994-09	2.49	2.49	15335	15335
1994-10	2.41	2.41	15054	15054
1994-11	3.22	3.22	17815	17815
1994-12	3.59	3.59	19108	19108
1995-01	3.21	3.21	17782	17782
1995-02	4.29	4.29	21734	21734
1995-03	4.96	4.96	24402	24402
1995-04	5.01	5.01	24604	24604
1995-05	4.49	4.49	22526	22526
1995-06	3.81	3.81	19915	19915
1995-07	3.29	3.29	18032	18032
1995-08	3.09	3.09	17331	17331
1995-09	2.51	2.51	15378	15378
1995-10	3.05	3.05	17229	17229
1995-11	3.51	3.51	18823	18823
1995-12	2.59	2.59	15639	15639
1996-01	2.00	2.00	13740	13740
1996-02	3.47	3.47	18685	18685
1996-03	3.89	3.89	20202	20202
1996-04	4.18	4.18	21316	21316
1996-05	4.24	4.24	21544	21544
1996-06	3.38	3.38	18367	18367
1996-07	2.92	2.92	16758	16758
1996-08	2.21	2.21	14419	14419
1996-09	2.23	2.23	14476	14476
1996-10	2.90	2.90	16737	16737
1996-11	4.34	4.34	21916	21916
1996-12	4.20	4.20	21400	21400
1997-01	4.28	4.28	21714	21714
1997-02	4.60	4.60	22957	22957
1997-03	5.38	5.38	26091	26091
1997-04	4.15	4.15	21247	21247
1997-05	2.82	2.82	16418	16418
1997-06	3.21	3.21	17753	17753
1997-07	4.03	4.03	20762	20762
1997-08	4.07	4.07	20905	20905
1997-09	3.73	3.73	19622	19622
1997-10	3.70	3.70	19531	19531
1997-11	4.66	4.66	23181	23181
1997-12	5.08	5.08	24874	24874
1998-01	5.36	5.36	26006	26006
1998-02	5.31	5.31	25806	25806
1998-03	5.34	5.34	25936	25936
1998-04	5.51	5.51	26671	26671
1998-05	6.25	6.25	29866	29866
1998-06	5.51	5.51	26652	26652
1998-07	4.74	4.74	23517	23517
1998-08	4.01	4.01	20678	20678
1998-09	4.41	4.41	22204	22204
1998-10	4.75	4.75	23535	23535
1998-11	4.96	4.96	24397	24397
1998-12	3.61	3.61	19231	19231
1999-01	3.08	3.08	17308	17308
1999-02	3.91	3.91	20286	20286
1999-03	4.10	4.10	21025	21025
1999-04	3.97	3.97	20525	20525
1999-05	3.87	3.87	20133	20133
1999-06	3.37	3.37	18322	18322
1999-07	4.00	4.00	20642	20642
1999-08	3.57	3.57	19055	19055
1999-09	2.45	2.45	15201	15201
1999-10	2.07	2.07	13966	13966
1999-11	1.85	1.85	13264	13264
1999-12	1.91	1.91	13480	13480
2000-01	1.88	1.88	13374	13374
2000-02	2.19	2.19	14337	14337
2000-03	2.61	2.61	15723	15723
2000-04	3.30	3.30	18094	18094
2000-05	3.56	3.56	19027	19027
2000-06	3.37	3.37	18322	18322
2000-07	3.36	3.36	18304	18304
2000-08	2.88	2.88	16627	16627
2000-09	2.92	2.92	16756	16756
2000-10	3.62	3.62	19235	19235
2000-11	3.80	3.80	19902	19902
2000-12	3.12	3.12	17460	17460
2001-01	2.97	2.97	16923	16923
2001-02	3.72	3.72	19606	19606
2001-03	4.16	4.16	21245	21245
2001-04	3.91	3.91	20287	20287
2001-05	3.39	3.39	18410	18410
2001-06	2.80	2.80	16363	16363
2001-07	2.09	2.09	14031	14031
2001-08	1.75	1.75	12956	12956
2001-09	1.47	1.47	12131	12131
2001-10	2.82	2.82	16450	16450
2001-11	2.56	2.56	15555	15555
2001-12	2.48	2.48	15265	15265
2002-01	1.84	1.84	13244	13244
2002-02	3.02	3.02	17139	17139
2002-03	3.70	3.70	19539	19539
2002-04	3.99	3.99	20583	20583
2002-05	4.12	4.12	21071	21071
2002-06	4.10	4.10	21009	21009
2002-07	3.59	3.59	19129	19129
2002-08	2.89	2.89	16658	16658
2002-09	2.57	2.57	15570	15570
2002-10	3.28	3.28	18017	18017
2002-11	3.38	3.38	18369	18369
2002-12	4.07	4.07	20919	20919
2003-01	4.21	4.21	21436	21436
2003-02	3.82	3.82	19941	19941
2003-03	4.24	4.24	21555	21555
2003-04	4.37	4.37	22043	22043
2003-05	4.38	4.38	22085	22085
2003-06	3.22	3.22	17797	17797
2003-07	2.33	2.33	14807	14807
2003-08	2.18	2.18	14303	14303
2003-09	1.99	1.99	13722	13722
2003-10	2.30	2.30	14707	14707
2003-11	2.41	2.41	15057	15057
2003-12	2.73	2.73	16126	16126
2004-01	3.64	3.64	19291	19291
2004-02	2.67	2.67	15948	15948
2004-03	1.88	1.88	13358	13358
2004-04	2.11	2.11	14086	14086
2004-05	2.56	2.56	15537	15537
2004-06	2.98	2.98	16974	16974
2004-07	2.83	2.83	16458	16458
2004-08	3.01	3.01	17084	17084
2004-09	2.03	2.03	13835	13835
2004-10	1.78	1.78	13066	13066
2004-11	3.30	3.30	18101	18101
2004-12	3.82	3.82	19963	19963
2005-01	3.43	3.43	18553	18553
2005-02	3.85	3.85	20092	20092
2005-03	3.50	3.50	18810	18810
2005-04	2.97	2.97	16950	16950
2005-05	2.78	2.78	16267	16267
2005-06	3.15	3.15	17537	17537
2005-07	3.16	3.16	17607	17607
2005-08	2.05	2.05	13904	13904
2005-09	1.87	1.87	13338	13338
2005-10	2.78	2.78	16285	16285
2005-11	3.51	3.51	18835	18835
2005-12	2.85	2.85	16511	16511
2006-01	2.81	2.81	16376	16376
2006-02	2.47	2.47	15239	15239
2006-03	2.72	2.72	16081	16081
2006-04	3.19	3.19	17686	17686
2006-05	2.68	2.68	15963	15963
2006-06	2.39	2.39	15001	15001
2006-07	2.04	2.04	13868	13868
2006-08	1.90	1.90	13442	13442
2006-09	1.79	1.79	13098	13098
2006-10	2.49	2.49	15314	15314
2006-11	2.70	2.70	15996	15996
2006-12	2.93	2.93	16779	16779
2007-01	3.42	3.42	18498	18498
2007-02	4.03	4.03	20763	20763
2007-03	4.90	4.90	24141	24141
2007-04	4.89	4.89	24102	24102
2007-05	4.15	4.15	21200	21200
2007-06	4.01	4.01	20687	20687
2007-07	2.97	2.97	16930	16930
2007-08	2.44	2.44	15143	15143
2007-09	2.07	2.07	13950	13950
2007-10	2.14	2.14	14193	14193
2007-11	2.49	2.49	15333	15333
2007-12	2.63	2.63	15782	15782
2008-01	2.39	2.39	14997	14997
2008-02	2.46	2.46	15211	15211
2008-03	2.68	2.68	15931	15931
2008-04	2.81	2.81	16382	16382
2008-05	3.13	3.13	17490	17490
2008-06	2.50	2.50	15337	15337
2008-07	2.45	2.45	15175	15175
2008-08	2.54	2.54	15481	15481
2008-09	2.45	2.45	15185	15185
2008-10	2.36	2.36	14895	14895
2008-11	3.17	3.17	17626	17626
2008-12	2.38	2.38	15007	15007
2009-01	1.44	1.44	12057	12057
2009-02	1.98	1.98	13667	13667
2009-03	2.39	2.39	15001	15001
2009-04	1.98	1.98	13666	13666
2009-05	1.36	1.36	11816	11816
2009-06	1.79	1.79	13088	13088
2009-07	2.25	2.25	14543	14543
2009-08	2.84	2.84	16477	16477
2009-09	2.85	2.85	16513	16513
2009-10	3.35	3.35	18242	18242
2009-11	3.98	3.98	20581	20581
2009-12	4.68	4.68	23262	23262
2010-01	5.06	5.06	24792	24792
2010-02	5.43	5.43	26303	26303
2010-03	5.12	5.12	25028	25028
2010-04	4.50	4.50	22553	22553
2010-05	4.34	4.34	21937	21937
2010-06	4.06	4.06	20855	20855
2010-07	3.00	3.00	17035	17035
2010-08	2.84	2.84	16501	16501
2010-09	2.28	2.28	14621	14621
2010-10	2.31	2.31	14722	14722
2010-11	2.24	2.24	14518	14518
2010-12	2.46	2.46	15258	15258
2011-01	2.88	2.88	16631	16631
2011-02	3.32	3.32	18165	18165
2011-03	3.92	3.92	20327	20327
2011-04	4.38	4.38	22095	22095
2011-05	4.37	4.37	22065	22065
2011-06	3.28	3.28	18024	18024
2011-07	2.96	2.96	16898	16898
2011-08	3.52	3.52	18873	18873
2011-09	3.87	3.87	20151	20151
2011-10	3.52	3.52	18860	18860
2011-11	3.58	3.58	19090	19090
2011-12	3.02	3.02	17113	17113
2012-01	2.01	2.01	13766	13766
2012-02	2.39	2.39	15003	15003
2012-03	2.28	2.28	14619	14619
2012-04	2.22	2.22	14451	14451
2012-05	2.79	2.79	16307	16307
2012-06	2.78	2.78	16284	16284
2012-07	3.51	3.51	18839	18839
2012-08	3.15	3.15	17540	17540
2012-09	2.41	2.41	15053	15053
2012-10	2.60	2.60	15727	15727
2012-11	2.57	2.57	15596	15596
2012-12	2.45	2.45	15225	15225
2013-01	2.74	2.74	16162	16162
2013-02	2.07	2.07	13971	13971
2013-03	3.06	3.06	17240	17240
2013-04	3.42	3.42	18499	18499
2013-05	3.58	3.58	19082	19082
2013-06	3.38	3.38	18360	18360
2013-07	4.04	4.04	20816	20816
2013-08	4.19	4.19	21346	21346
2013-09	2.87	2.87	16589	16589
2013-10	2.52	2.52	15429	15429
2013-11	3.17	3.17	17629	17629
2013-12	2.87	2.87	16608	16608
2014-01	2.42	2.42	15097	15097
2014-02	3.15	3.15	17561	17561
2014-03	2.66	2.66	15869	15869
2014-04	3.63	3.63	19273	19273
2014-05	3.85	3.85	20078	20078
2014-06	4.03	4.03	20760	20760
2014-07	4.72	4.72	23428	23428
2014-08	4.67	4.67	23229	23229
2014-09	3.91	3.91	20289	20289
2014-10	3.80	3.80	19877	19877
2014-11	3.60	3.60	19162	19162
2014-12	3.38	3.38	18369	18369
2015-01	4.03	4.03	20751	20751
2015-02	3.97	3.97	20522	20522
2015-03	3.91	3.91	20294	20294
2015-04	3.12	3.12	17466	17466
2015-05	2.98	2.98	16967	16967
2015-06	3.18	3.18	17647	17647
2015-07	3.56	3.56	19002	19002
2015-08	4.36	4.36	22024	22024
2015-09	3.61	3.61	19236	19236
2015-10	2.82	2.82	16421	16421
2015-11	3.42	3.42	18493	18493
2015-12	4.33	4.33	21918	21918
2016-01	5.43	5.43	26317	26317
2016-02	5.37	5.37	26061	26061
2016-03	5.01	5.01	24564	24564
2016-04	5.22	5.22	25435	25435
2016-05	4.86	4.86	23980	23980
2016-06	4.24	4.24	21541	21541
2016-07	4.25	4.25	21574	21574
2016-08	3.31	3.31	18119	18119
2016-09	3.16	3.16	17594	17594
2016-10	2.82	2.82	16436	16436
2016-11	3.37	3.37	18334	18334
2016-12	3.05	3.05	17221	17221
2017-01	3.93	3.93	20359	20359
2017-02	3.25	3.25	17920	17920
2017-03	3.46	3.46	18651	18651
2017-04	3.33	3.33	18204	18204
2017-05	4.10	4.10	20998	20998
2017-06	4.66	4.66	23186	23186
2017-07	4.68	4.68	23264	23264
